,Predicted_Survival
1,0.948773533125988
2,0.106685064741818
3,0.371429191359731
4,0.432672000976977
5,2.26169956048912
6,2.24819964510635
7,1.07509786636342
8,0.817617050135163
9,1.16536859570171
10,1.99096411521757
11,1.47475749852548
12,2.17817416696918
13,1.7184832134066
14,0.609794189019769
15,0.349950345866522
16,0.144658300195172
17,0.370054280925074
18,5.52148021627731
19,0.352663695418917
20,0.850285509501719
21,0.484157360845486
22,1.42794975266649
23,1.38740753898548
24,1.05987062663177
25,0.211644092375205
26,1.01739531776558
27,1.43650369458459
28,0.0893004962108296
29,1.00641097885783
30,2.40042326768392
31,2.09441709925446
32,1.11281333880004
33,0.200343606439679
34,0.554877329215033
35,0.0937248659643642
36,1.52154967423753
37,6.27075117601494
38,0.700660165614246
39,0.179626462666422
40,0.632074812471015
41,1.09281910179984
42,1.97629667000233
43,0.124429436631808
44,0.413206694345718
45,0.302943517459415
46,1.88543922204873
47,0.139793714532003
48,0.388328526903651
49,0.229941803718496
50,0.401414318264051
51,0.281622502094802
52,2.00880728054107
53,0.791421606384421
54,1.9981104913991
55,1.65815195969239
56,0.887060421913283
57,2.56843155639243
58,2.03548332020618
59,0.674197806316835
60,0.251184250893111
61,1.00213621623545
62,1.60750912902361
63,1.69958635788543
64,0.382148808777394
65,1.79887153067261
66,0.702400674592139
67,1.69418200047204
68,0.190335722545447
69,3.16490604884205
70,0.89380120845513
71,1.55416698100159
72,0.489192878792767
73,0.278803899769494
74,1.80992497558525
75,0.43563132671544
76,1.08074032254579
77,0.720313157445224
78,0.80660733295038
79,1.83909542512157
80,0.383705526243645
81,0.413383464643899
82,1.03235955031792
83,0.372765897175713
84,1.23665038352895
85,0.560198363069019
86,0.108216799661844
87,0.622892919736987
88,0.0767944378489242
89,0.0844839809247056
90,0.986207370137801
91,1.23175980709216
92,2.18531009441578
93,1.01339490310365
94,0.885321527605306
95,3.84595748092033
96,0.350536827423095
97,0.299179483486965
98,1.61171802992317
99,1.19921632515595
100,0.604689341816898
101,0.439652559647235
102,0.892323478879192
103,1.17795042400827
104,0.625124365520671
105,0.366427668519218
106,3.47500755436549
107,1.25086828033642
108,1.08436435969329
109,0.433425503363489
110,0.525909259011723
111,0.400032455642398
112,0.0812918605416502
113,1.02524431535338
114,1.24322821832816
115,0.27609762666063
116,1.08894264910343
117,4.68655495610537
118,2.72501215212743
119,3.32325359218529
120,0.38077257867902
121,0.236557577828194
122,1.12813220365939
123,1.73130125286271
124,0.0982197162705487
125,3.07877165789845
126,1.57410745309061
127,1.66474811523516
128,1.47189077308874
129,0.642610659171818
130,1.36918968464884
131,0.672580552690841
132,1.6993751111011
133,1.63183993176402
134,1.15003189658344
135,0.213496965237593
136,1.27125179377874
137,1.20834054846734
138,2.96386193391516
139,0.066549269776706
140,2.40850841255249
141,1.41530348507481
142,0.124429436631808
143,2.68436117027554
144,1.80580009600838
145,1.50914937336892
146,2.00817977194842
147,1.58213808392079
148,0.311646386075043
149,0.0934801093348887
150,0.413570774140727
151,0.586947408798818
152,1.62747269970017
153,1.61741746969448
154,0.372623709878131
155,0.359665239584866
156,1.58153740804953
157,0.560198363069019
158,0.813368470517977
159,0.429613826412283
160,0.198199838873068
161,0.849543393959401
162,0.916179709505926
163,1.27502188655671
164,0.917431342221607
165,1.57793625664407
166,1.27149744262541
167,5.05596031333974
168,0.913937967939855
169,0.23008131689314
170,0.857981287192888
171,0.284742533261655
172,0.307402471651973
173,1.09192951963203
174,0.974289073227353
175,1.0445600021568
176,1.70417248579454
177,0.660565770555229
178,0.475582725739483
179,1.41371997764407
180,0.809254856480642
181,0.902017055007867
182,1.07216711613747
183,0.520000935268033
184,1.821907152616
185,2.3535978963016
186,0.866272584979326
187,1.73798007569862
188,1.04914389187267
189,2.76636834419797
190,0.439310386110051
191,0.0934801093348887
192,1.94930487251512
193,0.962799557947637
194,2.94495163085512
195,0.223901962011443
196,0.128141406628855
197,0.571101150113198
198,1.90474572037099
199,0.982937823382338
200,0.0759587148787008
201,0.444634519433129
202,1.56876066826514
203,3.13459002932497
204,0.95107848241219
205,0.21836144078796
206,0.878096697872855
207,2.01749491053975
208,0.331916874393678
209,0.101980276102843
210,2.32350511602956
211,0.105264208148312
212,0.289670798045301
213,0.821648525000309
214,0.201306258484489
215,4.07351902867345
216,1.49477923479327
217,0.967129808110559
218,0.146917900615264
219,0.617201448281947
220,1.3024361004854
221,0.935210945469414
222,0.752739991081065
