,Predicted_censored,CensoredProbability,NonCensoredProbability
1,0,0.79536956110309,0.20463043889691
2,0,0.794719041855495,0.205280958144505
3,1,0.28754265720925,0.71245734279075
4,0,0.782516014569843,0.217483985430157
5,1,0.475051746670007,0.524948253329993
6,1,0.0942087041209277,0.905791295879072
7,0,0.910504076256731,0.0894959237432688
8,0,0.909579809805034,0.0904201901949664
9,1,0.0832263642241561,0.916773635775844
10,0,0.78888574456912,0.21111425543088
11,1,0.29942547005232,0.70057452994768
12,1,0.215439322465345,0.784560677534655
13,0,0.801384896909719,0.198615103090281
14,0,0.787832157543773,0.212167842456227
15,0,0.823037943423689,0.176962056576311
16,0,0.667846745791763,0.332153254208237
17,0,0.5873738606133,0.4126261393867
18,0,0.802828709895588,0.197171290104412
19,0,0.916280613199206,0.0837193868007939
20,0,0.637954186359149,0.362045813640851
21,0,0.739829025071204,0.260170974928796
22,0,0.749455058005708,0.250544941994292
23,0,0.793051799318045,0.206948200681955
24,0,0.79045071035955,0.20954928964045
25,1,0.0709809699380289,0.929019030061971
26,0,0.696979532899693,0.303020467100307
27,1,0.398297120970716,0.601702879029284
28,0,0.621250177265286,0.378749822734714
29,0,0.640735322942867,0.359264677057133
30,0,0.708560993681678,0.291439006318322
31,0,0.721325776647618,0.278674223352382
32,0,0.694421728449775,0.305578271550225
33,0,0.968647127742989,0.0313528722570112
34,0,0.762470641402902,0.237529358597098
35,0,0.559404911723037,0.440595088276963
36,0,0.638912512949126,0.361087487050874
37,1,0.302380391032169,0.697619608967831
38,0,0.678565913403292,0.321434086596708
39,0,0.549679271129267,0.450320728870733
40,0,0.613737014213329,0.386262985786671
41,1,0.467069258940101,0.532930741059899
42,1,0.15642232615185,0.84357767384815
43,1,0.337916912514809,0.662083087485191
44,0,0.578731171149147,0.421268828850853
45,0,0.507189246031123,0.492810753968877
46,0,0.957822580401682,0.0421774195983177
47,0,0.886740599241268,0.113259400758732
48,1,0.203442762186171,0.796557237813829
49,0,0.80414725630123,0.19585274369877
50,1,0.432926578340062,0.567073421659938
51,0,0.702206415745528,0.297793584254472
52,0,0.700682125687627,0.299317874312373
53,0,0.681638887120532,0.318361112879468
54,1,0.248717864467028,0.751282135532972
55,1,0.25210287194851,0.74789712805149
56,1,0.387756587277003,0.612243412722997
57,0,0.840955698654769,0.159044301345231
58,0,0.886039500636093,0.113960499363907
59,0,0.761471022658578,0.238528977341422
60,0,0.728518981938703,0.271481018061297
61,1,0.170963256722433,0.829036743277567
62,0,0.715872107499634,0.284127892500366
63,1,0.270265382919402,0.729734617080598
64,0,0.695764980160095,0.304235019839905
65,0,0.733166646798544,0.266833353201456
66,1,0.317220526851565,0.682779473148435
67,1,0.321649939304289,0.678350060695711
68,1,0.218314018353741,0.781685981646259
69,1,0.166325587990771,0.833674412009229
70,1,0.343053635043199,0.656946364956801
71,1,0.454078107869057,0.545921892130943
72,0,0.770450087532777,0.229549912467223
73,1,0.445073067042461,0.554926932957539
74,1,0.171243580956086,0.828756419043914
75,1,0.163143698802525,0.836856301197475
76,1,0.354218204219386,0.645781795780614
77,0,0.693078014772852,0.306921985227148
78,1,0.34854891304429,0.65145108695571
79,1,0.336820408835533,0.663179591164467
80,0,0.609795041361031,0.390204958638969
81,1,0.238813136823921,0.761186863176079
82,0,0.665970115188362,0.334029884811638
83,1,0.307632231780941,0.692367768219059
84,0,0.638768454117536,0.361231545882464
85,1,0.480167353046675,0.519832646953325
86,0,0.535757623555947,0.464242376444053
87,1,0.488709470189562,0.511290529810438
88,1,0.228812203069904,0.771187796930096
89,1,0.115965695093099,0.884034304906901
90,1,0.456995150386257,0.543004849613743
91,1,0.189937830624234,0.810062169375766
92,0,0.893401365624927,0.106598634375073
93,0,0.960821259916541,0.0391787400834592
94,0,0.906036692831174,0.093963307168826
95,0,0.530994417094705,0.469005582905295
96,0,0.910447604524449,0.0895523954755515
97,1,0.168188534315828,0.831811465684172
98,1,0.40068525790404,0.59931474209596
99,0,0.623741912373744,0.376258087626256
100,0,0.875681193885891,0.124318806114109
101,1,0.285765879499946,0.714234120500054
102,0,0.816671076981757,0.183328923018243
103,0,0.75770987936773,0.24229012063227
104,0,0.568604991930164,0.431395008069836
105,1,0.318840194147789,0.681159805852211
106,0,0.611106766320522,0.388893233679478
107,0,0.818680591430922,0.181319408569078
108,1,0.382436454156305,0.617563545843695
109,0,0.731242823896861,0.268757176103139
110,0,0.770760912550058,0.229239087449942
111,0,0.62599471861495,0.37400528138505
112,0,0.689389348693454,0.310610651306546
113,1,0.103858147002627,0.896141852997373
114,1,0.455979660386936,0.544020339613064
115,1,0.413989012658978,0.586010987341022
116,1,0.0174202101417797,0.98257978985822
117,0,0.665472421758896,0.334527578241104
118,1,0.449444831112358,0.550555168887642
119,1,0.346748849734029,0.653251150265971
120,0,0.61656894962014,0.38343105037986
121,1,0.236539140765177,0.763460859234823
122,1,0.416858519895974,0.583141480104026
123,0,0.745573922742418,0.254426077257582
124,0,0.720810254623123,0.279189745376877
125,0,0.733253097984913,0.266746902015087
126,1,0.4960612603478,0.5039387396522
127,1,0.203769574893984,0.796230425106016
128,1,0.261599208063792,0.738400791936208
129,0,0.848918982003985,0.151081017996015
130,0,0.890588264645813,0.109411735354187
131,0,0.798084598292347,0.201915401707653
132,1,0.48295769252909,0.51704230747091
133,0,0.605900820837682,0.394099179162318
134,1,0.352921770997577,0.647078229002423
135,1,0.345812808740724,0.654187191259276
136,1,0.252419470072903,0.747580529927097
137,0,0.703330898542306,0.296669101457694
138,0,0.819039300649637,0.180960699350363
139,0,0.841765922010901,0.158234077989099
140,0,0.912788582354123,0.0872114176458769
141,1,0.499913956525468,0.500086043474532
142,1,0.31432495837938,0.68567504162062
143,0,0.917711728510072,0.0822882714899282
144,0,0.861285051845539,0.138714948154461
145,1,0.264714330667292,0.735285669332708
146,1,0.237080204474326,0.762919795525674
147,0,0.771077388139689,0.228922611860311
148,1,0.275811812723948,0.724188187276052
149,1,0.279894440865676,0.720105559134324
150,0,0.77215591067841,0.22784408932159
151,1,0.327126339155558,0.672873660844442
152,1,0.441909455319902,0.558090544680098
153,1,0.458260706247215,0.541739293752785
154,0,0.517121389927816,0.482878610072184
155,0,0.508906980925764,0.491093019074236
156,1,0.246600763537224,0.753399236462776
157,1,0.44574501125732,0.55425498874268
158,1,0.164664360772112,0.835335639227888
159,0,0.585597827492665,0.414402172507335
160,1,0.252325627814462,0.747674372185538
161,0,0.683211494389742,0.316788505610258
162,0,0.874538754386256,0.125461245613744
163,0,0.540442928390386,0.459557071609614
164,1,0.304395160055462,0.695604839944538
165,0,0.919930469244254,0.0800695307557464
166,1,0.200312958976294,0.799687041023706
167,1,0.226068888286832,0.773931111713168
168,0,0.672625225615483,0.327374774384517
169,0,0.719236995840544,0.280763004159456
170,1,0.164041286578895,0.835958713421105
171,1,0.277952906966231,0.722047093033769
172,1,0.250340209246549,0.749659790753451
173,1,0.355067248211156,0.644932751788844
174,0,0.617683137598668,0.382316862401332
175,0,0.79198496225457,0.20801503774543
176,1,0.406433879823362,0.593566120176638
177,0,0.829540070272131,0.170459929727869
178,0,0.922616226325946,0.077383773674054
179,1,0.161785871800152,0.838214128199848
180,1,0.489455331990291,0.510544668009709
181,0,0.892822561550067,0.107177438449933
182,0,0.939108677650307,0.0608913223496933
183,0,0.96736341216332,0.03263658783668
184,0,0.925326698896348,0.0746733011036523
185,0,0.847174264645484,0.152825735354516
